ID,Name,English,On,Off,Total,Daily,Point,Address,tm2_x,tm2_y,latitude,longitude
E23,冬山,Dongshan,"210,106","211,363","421,469",1155.0,Point (330208.1380000002682209 2725746.61299999989569187),宜蘭縣冬山鄉冬山村中正路1之2號,330208.13800000027,2725746.613,24.636489212388327,121.79228032138522
J01,加祿,Jialu,"28,192",781,"28,973",79.0,Point (211332.55670000019017607 2470248.70769999967887998),屏東縣枋山鄉加祿村會社53號,211332.5567000002,2470248.7076999997,22.33095200152322,120.62462823692341
I13,北埔,Beipu,"62,272","63,252","125,524",344.0,Point (311196.75349999888567254 2658751.30649999994784594),花蓮縣新城鄉自強街113號,311196.7534999989,2658751.3065,24.0324822847113,121.60163561999236
A274,北新竹,NorthHsinchu,"1,021,514","1,046,098","2,067,612",5665.0,Point (248363.02400000020861626 2744579.94500000029802322),新竹市東區中華路一段291之2號,248363.0240000002,2744579.9450000003,24.80861645296579,120.98380767419579
A244,北湖,Beihu,"341,317","341,325","682,642",1870.0,Point (255648.87700000032782555 2757155.26700000092387199),新竹縣湖口鄉東興村北湖路1號,255648.87700000033,2757155.267000001,24.922143710142254,121.05592752591595
N02,十分,Shifen,"477,697","466,316","944,013",2586.0,Point (328207.39300000015646219 2770543.35199999995529652),新北市平溪區十分街51號,328207.39300000016,2770543.352,25.041005824764664,121.77503308882453
V00,千甲,Qianjia,"116,765","113,984","230,749",632.0,Point (250351.16700000036507845 2744362.85600000061094761),新竹市東區水源里千甲路142號,250351.16700000037,2744362.8560000006,24.806657275814892,121.00347355193168
T04,南勢,Nanshi,"55,147","53,601","108,748",298.0,Point (228874.54499999992549419 2712907.17200000025331974),苗栗縣苗栗市新英里南勢39號,228874.54499999993,2712907.1720000003,24.522506590618185,120.79151156296221
P12,南州,Nanzhou,"197,626","193,382","391,008",1071.0,Point (199767.67110000067623332 2488117.41290000034496188),屏東縣南州鄉仁里路86號,199767.67110000068,2488117.4129000003,22.492026688845314,120.51179910533727
M14,南平,Nanping,"7,481","7,069","14,550",40.0,Point (296698.40270000067539513 2630986.83589999936521053),花蓮縣鳳林鎮自強路233號,296698.4027000007,2630986.8358999994,23.78227940182204,121.45821933259352
A154,南樹林,SouthShulin,"507,702","492,615","1,000,317",2741.0,Point (291274.99199999962002039 2763681.38399999961256981),新北市樹林區中山里中山路二段230號,291274.9919999996,2763681.3839999996,24.98051338344502,121.40883951389084
A07,南港,Nangang,"5,458,735","5,758,085","11,216,820",30731.0,Point (311252.07299999985843897 2771829.85300000011920929),臺北市南港區南港里南港路一段313號,311252.07299999986,2771829.853,25.053401556641468,121.60707200117086
I04,南澳,Nan'ao,"269,898","265,580","535,478",1467.0,Point (331205.78100000042468309 2706574.18200000002980232),宜蘭縣蘇澳鎮南強里大通路22號,331205.7810000004,2706574.182,24.463347540817985,121.8010340295344
A744,南科,Nanke,"524,129","481,714","1,005,843",2756.0,Point (178500.93929999967804179 2556336.92890000063925982),臺南市新市區大營里大營287-300號,178500.93929999968,2556336.9289000006,23.10731040185857,120.30199080170695
A67,南靖,Nanjing,"74,355","73,630","147,985",405.0,Point (187310.3256999995210208 2590194.75769999902695417),嘉義縣水上鄉三鎮路26號,187310.32569999952,2590194.757699999,23.41340079840336,120.3865908427846
