ID,Name,English,On,Off,Total,Daily
C02,濁水,Zhuoshui,"30,151","29,390","59,541",163
C03,龍泉,Longquan,"3,890","5,302","9,192",25
C04,集集,Jiji,"47,728","39,244","86,972",238
C05,水里,Shuili,"27,724","35,222","62,946",172
C06,車埕,Checheng,"25,631","29,446","55,077",151
E01,暖暖,Nuannuan,"195,309","198,383","393,692",1079
E02,四腳亭,Sijiaoting,"274,033","263,900","537,933",1474
E03,瑞芳,Ruifang,"1,843,199","1,981,581","3,824,780",10479
E04,猴硐,Houtong,"283,867","280,731","564,598",1547
E05,三貂嶺,Sandiaoling,"65,619","61,684","127,303",349
E06,牡丹,Mudan,"77,020","101,803","178,823",490
E07,雙溪,Shuangxi,"292,655","297,129","589,784",1616
E08,貢寮,Gongliao,"59,377","69,245","128,622",352
E09,福隆,Fulong,"383,112","412,641","795,753",2180
E10,石城,Shicheng,"14,404","11,775","26,179",72
E11,大里,Dali,"88,343","59,845","148,188",406
E12,大溪,Daxi,"75,061","70,779","145,840",400
E13,龜山,Guishan,"33,830","33,110","66,940",183
E14,外澳,Wai'ao,"44,585","43,238","87,823",241
E15,頭城,Toucheng,"400,009","407,419","807,428",2212
E16,頂埔,Dingpu,"36,859","36,379","73,238",201
E17,礁溪,Jiaoxi,"649,733","679,837","1,329,570",3643
E18,四城,Sicheng,"49,622","47,639","97,261",266
E19,宜蘭,Yilan,"1,460,679","1,457,715","2,918,394",7996
E20,二結,Erjie,"47,124","45,572","92,696",254
E21,中里,Zhongli,"15,665","16,235","31,900",87
E22,羅東,Luodong,"1,671,164","1,668,591","3,339,755",9150
E23,冬山,Dongshan,"210,106","211,363","421,469",1155
E24,新馬,Xinma,0,0,0,0
E25,蘇澳新,Su'aoxin,"251,379","266,146","517,525",1418
E26,蘇澳,Su'ao,"178,077","189,259","367,336",1006
I02,永樂,Yongle,"4,692","4,631","9,323",26
I03,東澳,Dong'ao,"62,047","65,727","127,774",350
I04,南澳,Nan'ao,"269,898","265,580","535,478",1467
I05,武塔,Wuta,"4,758","5,104","9,862",27
I07,漢本,Hanben,"3,183","3,013","6,196",17
I08,和平,Heping,"261,326","263,207","524,533",1437
I09,和仁,Heren,"19,965","20,755","40,720",112
I10,崇德,Chongde,"5,975","5,690","11,665",32
I11,新城,Xincheng,"180,834","177,748","358,582",982
I12,景美,Jingmei,"4,910","4,199","9,109",25
I13,北埔,Beipu,"62,272","63,252","125,524",344
I14,花蓮,Hualien,"3,449,510","3,452,340","6,901,850",18909
J01,加祿,Jialu,"28,192",781,"28,973",79
J02,內獅,Neishi,228,335,563,2
J03,枋山,Fangshan,700,906,"1,606",4
J04,枋野,Fangye,0,0,0,0
J08,大武,Dawu,"75,480","74,140","149,620",410
J10,瀧溪,Longxi,"8,941","8,807","17,748",49
J12,金崙,Jinlun,"210,595","209,275","419,870",1150
