Point,Name,Address
Point (331296.95799999963492155 2778059.34799999929964542),瑞芳,新北市瑞芳區龍潭里明燈路三段82號
Point (241293.90600000042468309 2739543.45299999974668026),香山,新竹市香山區朝山里中華路五段347巷2弄27號
Point (242769.42999999970197678 2742218.89599999971687794),三姓橋,新竹市香山區元培街32巷30號
Point (252225.36699999962002039 2742312.75999999977648258),新莊,新竹市東區新莊里關東路310號
Point (247131.80900000035762787 2743794.321000000461936),新竹,新竹市東區榮光里中華路二段445號
Point (250351.16700000036507845 2744362.85600000061094761),千甲,新竹市東區水源里千甲路142號
Point (248363.02400000020861626 2744579.94500000029802322),北新竹,新竹市東區中華路一段291之2號
Point (268467.99100000038743019 2733155.68500000052154064),內灣,新竹縣橫山鄉中正路6號
Point (266937.7630000002682209 2734277.63900000043213367),富貴,新竹縣橫山鄉(無站房)
Point (265628.46499999985098839 2734402.2369999997317791),合興,新竹縣橫山鄉中山街一段17號
Point (261904.928999999538064 2734815.62099999934434891),橫山,新竹縣橫山鄉橫山村橫山路97號(無站房)
Point (263782.74799999967217445 2734841.3619999997317791),九讚頭,新竹縣橫山鄉中豐路二段286巷29號
Point (259578.76400000043213367 2736785.48200000077486038),竹東,新竹縣竹東鎮雞林里東林路196號
Point (258420.7369999997317791 2737907.17799999937415123),榮華,新竹縣竹東鎮仁愛里北興路(無站房)
Point (255641.45100000035017729 2741164.01899999938905239),上員,新竹縣竹東鎮上員里光明路(無站房)
Point (253173.05599999986588955 2741596.76899999938905239),竹中,新竹縣竹東鎮頭重里竹中路145號
Point (253976.13599999994039536 2744464.30499999970197678),六家,新竹縣竹北市復興三路二段229號
Point (250956.39099999982863665 2747958.03399999998509884),竹北,新竹縣竹北市福德里和平街59號
Point (249685.23900000005960464 2751356.51799999922513962),新豐,新竹縣新豐鄉員山村新興路202號
Point (254448.34999999962747097 2755022.89800000004470348),湖口,新竹縣湖口鄉仁勢村中山路二段121號
Point (255648.87700000032782555 2757155.26700000092387199),北湖,新竹縣湖口鄉東興村北湖路1號
Point (264767.62000000011175871 2756261.98299999907612801),楊梅,桃園市楊梅區楊梅里大成路256號
Point (268554.86500000022351742 2756871.78600000031292439),埔心,桃園市楊梅區埔心里永美路208號
Point (256847.63900000043213367 2758158.20700000040233135),新富,桃園市楊梅區富豐里富全街1號
Point (258391.27599999960511923 2758512.31000000052154064),富岡,桃園市楊梅區富岡里成功路37號
Point (272715.63850000035017729 2760628.83999999985098839),中壢,
Point (276076.99700000043958426 2762786.82699999958276749),內壢,桃園市中壢區中原里中華路一段267號
Point (281744.14099999982863665 2764572.8880000002682209),桃園,桃園市桃園區武陵里中正路1號
Point (300474.47099999990314245 2769563.125),萬華,臺北市萬華區富福里康定路382號
Point (302143.80900000035762787 2771129.07200000062584877),臺北,臺北市中正區黎明里北平西路3號
Point (308357.90699999965727329 2771347.88199999928474426),松山,臺北市信義區永吉里松山路11號B1
Point (311252.07299999985843897 2771829.85300000011920929),南港,臺北市南港區南港里南港路一段313號
Point (227080.32799999974668026 2701626.73100000061094761),三義,苗栗縣三義鄉雙湖村雙湖90號
Point (214656.79700000025331974 2704171.03600000031292439),苑裡,苗栗縣苑裡鎮苑北里中山路165號
Point (228328.5400000000372529 2708909.06000000052154064),銅鑼,苗栗縣銅鑼鄉銅鑼村大同路13號
Point (217407.04700000025331974 2709485.17100000008940697),通霄,苗栗縣通霄鎮通西里中正路109號
Point (228874.54499999992549419 2712907.17200000025331974),南勢,苗栗縣苗栗市新英里南勢39號
Point (219120.71899999957531691 2714881.34400000050663948),新埔,苗栗縣通霄鎮新埔里新埔57號
Point (220441.77799999993294477 2717609.65499999932944775),白沙屯,苗栗縣通霄鎮白西里白西131號
Point (232013.70600000023841858 2718161.14200000092387199),苗栗,苗栗縣苗栗市上苗里為公路1號
Point (232416.35699999984353781 2721957.79499999992549419),豐富,苗栗縣後龍鎮校椅里高鐵一路66號
Point (225514.64499999955296516 2722788.20700000040233135),龍港,苗栗縣後龍鎮龍京里公司寮85號
Point (228442.74199999962002039 2723267.43099999986588955),後龍,苗栗縣後龍鎮北龍里街127之2號
Point (236561.22800000011920929 2726119.90300000086426735),造橋,苗栗縣造橋鄉造橋村平仁路54號
Point (230136.91000000014901161 2726546.93999999947845936),大山,苗栗縣後龍鎮大山里明山路180號
Point (235677.21999999973922968 2727744.33999999985098839),談文,苗栗縣造橋鄉談文村仁愛路29號
Point (237899.05700000002980232 2731062.72100000083446503),竹南,苗栗縣竹南鎮竹南里中山路166號
Point (237026.83700000029057264 2735101.78999999910593033),崎頂,苗栗縣竹南鎮崎頂里北戶55號
Point (196032.86000000033527613 2615202.40799999982118607),石龜,雲林縣斗南鎮石溪里
Point (197023.20399999991059303 2618862.83699999935925007),斗南,雲林縣斗南鎮南昌里中山路2號
Point (203219.50800000037997961 2623166.18999999947845936),斗六,雲林縣斗六市信義里民生路187號
Point (207180.48900000005960464 2625368.06499999947845936),石榴,雲林縣斗六市榴北里文明路26號
Point (210754.47599999979138374 2628465.60300000011920929),林內,雲林縣林內鄉中山路42號
Point (223795.56899999963934533 2691719.5193000016734004),泰安,臺中市后里區安眉路37-12號
Point (211624.29969999997410923 2667112.11370000103488564),烏日,臺中市烏日區三民街258號
Point (210790.50210000047809444 2667233.37529999949038029),新烏日,臺中市烏日區高鐵東一路26號
Point (208340.51210000045830384 2667741.03449999820441008),成功,臺中市烏日區中山路三段550號
Point (214292.95270000054733828 2668285.24690000060945749),大慶,臺中市南區大慶街二段130號
Point (206310.4438999998383224 2668439.33170000044628978),追分,臺中市大肚區追分街13號
Point (216121.8855000002658926 2669322.18710000067949295),五權,臺中市南區建國南路二段201號
Point (218179.00790000049164519 2670240.21570000099018216),臺中,臺中市中區臺灣大道一段1號
Point (219294.5930999992415309 2671589.27589999977499247),精武,臺中市東區東光路161號
Point (203506.79090000066207722 2672165.03149999957531691),大肚,臺中市大肚區平和街121號
Point (219511.16089999978430569 2673260.25730000017210841),太原,臺中市北屯區東光路665號
Point (219728.11649999982910231 2675000.73530000168830156),松竹,臺中市北屯區松竹路一段1473巷100號
Point (219933.96990000049117953 2676703.03970000054687262),頭家厝,臺中市潭子區頭張東路43巷8號
Point (203610.5464999993564561 2676969.00530000030994415),龍井,臺中市龍井區龍新路1號
Point (220121.18190000011236407 2678592.94210000056773424),潭子,臺中市潭子區中山路二段352-1號
Point (220615.23969999968539923 2681033.1176999993622303),栗林,臺中市潭子區潭豐路二段747號
Point (205070.56489999900804833 2681360.29939999943599105),沙鹿,臺中市沙鹿區中正街94號
Point (221925.88929999928222969 2683206.23750000074505806),豐原,臺中市豐原區中正路1-1號
Point (206253.74519999872427434 2684291.7923000012524426),清水,臺中市清水區中正街115號
Point (209644.17530000070109963 2688829.11029999982565641),臺中港,臺中市清水區甲南路2號
Point (222909.43549999935203232 2689302.09590000007301569),后里,臺中市后里區甲后路一段1號
Point (212159.3188000004447531 2693216.32399999862536788),大甲,臺中市大甲區中山路一段828號
Point (214915.98959999982616864 2696937.83320000022649765),日南,臺中市大甲區中山路二段140巷8號
Point (184623.22950000019045547 2584976.08390000136569142),後壁,臺南市後壁區後壁里後壁77號
Point (180774.25049999915063381 2578421.75110000092536211),新營,臺南市新營區中山路1號
Point (180696.54310000053374097 2575175.75770000088959932),柳營,臺南市柳營區建國路1號
Point (173341.22809999997843988 2533905.82349999900907278),中洲,臺南市仁德區中洲路298-1號
Point (175343.09529999981168658 2534186.61050000041723251),長榮大學,臺南市歸仁區長榮路一段200巷72弄126號
Point (172091.60809999890625477 2536020.80749999964609742),仁德,臺南市仁德區永德路10號
Point (176782.73230000006151386 2536045.34009999874979258),沙崙,臺南市歸仁區沙崙里歸仁大道102號
Point (171191.95569999876897782 2537067.45849999925121665),保安,臺南市仁德區文賢路一段529巷10號
Point (169267.35029999975813553 2544188.20630000019446015),臺南,臺南市東區北門路二段4號
Point (170491.40950000105658546 2546622.04109999816864729),大橋,臺南市永康區中華路835號
Point (173492.04889999935403466 2548719.82349999947473407),永康,臺南市永康區中山路459號
Point (177249.78010000014910474 2552006.72450000047683716),新市,臺南市新市區中華路1號
Point (178500.93929999967804179 2556336.92890000063925982),南科,臺南市新市區大營里大營287-300號
Point (178968.67690000054426491 2559218.43709999974817038),善化,臺南市善化區中山路1號
Point (180520.47449999878881499 2563558.76629999931901693),拔林,臺南市官田區拔林里拔子林83之1號
Point (180316.83149999953457154 2565772.74019999941810966),隆田,臺南市官田區中山路一段1號
Point (180518.74239999958081171 2571309.09450000058859587),林鳳營,臺南市六甲區中社里林鳳營16號
Point (178134.60369999910471961 2521445.58589999936521053),岡山,高雄市岡山區岡燕路111號
Point (183916.76039999912609346 2503618.72440000111237168),鳳山,高雄市鳳山區曹公路70號
Point (182384.77589999933843501 2503937.29010000079870224),正義,高雄市苓雅區正義路308號B1
Point (180726.79770000092685223 2504257.17109999945387244),科工館,高雄市三民區大順三路307號
Point (179575.1508999991347082 2504448.18950000032782555),民族,高雄市三民區凱旋一路260號
Point (177450.41690000033122487 2504517.47609999915584922),三塊厝,高雄市三民區康平街1號
Point (178254.47969999990891665 2504545.74890000047162175),高雄,高雄市三民區建國二路320號
Point (187434.86689999929512851 2504568.95109999971464276),後庄,高雄市大寮區民慶街9號
Point (176065.72230000060517341 2504798.9632999999448657),鼓山,高雄市鼓山區鐵路街20巷6號B1
Point (176154.29269999978714623 2505947.35410000057891011),美術館,高雄市鼓山區翠華路246號B1
Point (176728.95310000056633726 2507460.35029999865218997),內惟,高雄市鼓山區翠華路500號B1
Point (177458.68189999967580661 2508411.0821000006981194),左營,高雄市鼓山區翠華路1050號B1
Point (178773.23290000125416555 2509850.2708999989554286),新左營,高雄市左營區站前北路1號
Point (180582.52649999910499901 2514217.00249999901279807),楠梓,高雄市楠梓區建楠路229號
Point (179151.52550000039627776 2518000.10769999958574772),橋頭,高雄市橋頭區站前街14號
Point (174702.80289999948581681 2528303.42250000033527613),路竹,高雄市路竹區中正路288號
Point (173455.48390000022482127 2530989.54189999867230654),大湖,高雄市路竹區天祐路24號
Point (190492.3092999994114507 2506353.04579999996349216),九曲堂,高雄市大樹區久堂路鐵路巷15號
Point (192917.81409999969764613 2597447.29149999981746078),嘉義,嘉義市西區中山路528號
Point (193656.72250000038184226 2599733.7786999992094934),嘉北,嘉義市東區保建街110號
Point (187310.3256999995210208 2590194.75769999902695417),南靖,嘉義縣水上鄉三鎮路26號
Point (188662.77770000114105642 2592469.03730000089854002),水上,嘉義縣水上鄉下寮村鴿溪寮49號
Point (194466.84769999934360385 2610952.36170000024139881),大林站,嘉義縣大林鎮中山路2號
Point (191951.50629999919328839 2605865.74070000136271119),民雄,嘉義縣民雄鄉和平路2號
Point (200076.80989999897428788 2490436.63670000061392784),崁頂,屏東縣崁頂鄉中正路122號
Point (202310.52890000026673079 2494537.26270000077784061),潮州,屏東縣潮州鎮信義路111號
Point (202694.47989999910350889 2498564.67149999924004078),竹田,屏東縣竹田鄉豐明路27-1號
Point (201315.31969999941065907 2501875.94109999947249889),西勢,屏東縣竹田鄉西豐路2號
Point (200063.18369999906281009 2503958.95209999848157167),麟洛,屏東縣麟洛鄉中華路站前巷15號
Point (205970.46470000129193068 2477791.49589999997988343),東海,屏東縣枋寮鄉西安路92號
Point (203437.26570000022184104 2479472.12809999985620379),佳冬,屏東縣佳冬鄉復興路21號
Point (200096.33369999960996211 2481391.75349999964237213),林邊,屏東縣林邊鄉仁愛路33號
Point (199696.19950000068638474 2484342.52830000128597021),鎮安,屏東縣林邊鄉永和路4號
Point (199767.67110000067623332 2488117.41290000034496188),南州,屏東縣南州鄉仁里路86號
Point (198918.69630000073811971 2505870.2566999988630414),歸來,屏東縣屏東市歸仁路1-2號
Point (197202.89750000083586201 2507709.82430000090971589),屏東,屏東縣屏東市公勇路62號
Point (195018.71789999934844673 2507392.15369999967515469),六塊厝,屏東縣屏東市光復路392號
Point (208301.63770000083604828 2474368.13529999926686287),枋寮,屏東縣枋寮鄉儲運路18號
Point (211332.55670000019017607 2470248.70769999967887998),加祿,屏東縣枋山鄉加祿村會社53號
Point (213255.66050000046379864 2467498.18210000079125166),內獅,屏東縣枋山鄉南和路43號
Point (220858.07849999913014472 2464674.43949999986216426),枋野,屏東縣獅子鄉內獅巷88號
Point (214921.19410000072093681 2463169.55430000089108944),枋山,屏東縣獅子鄉內獅巷88號
Point (281876.69300000095972791 2581035.12340000085532665),玉里,花蓮縣玉里鎮康樂街39號
Point (281123.39050000061979517 2574475.08999999891966581),東里,花蓮縣富里鄉大莊路15-6號
Point (278495.86389999923994765 2569338.54410000052303076),東竹,花蓮縣富里鄉新興村新興26號
Point (275451.12890000076731667 2564138.69210000056773424),富里,花蓮縣富里鄉街56號
Point (285293.93870000098831952 2591334.67770000081509352),三民,花蓮縣玉里鎮三民里三民10號
Point (288480.15710000088438392 2599410.55749999964609742),瑞穗,花蓮縣瑞穗鄉四維街13號
Point (288799.18550000007962808 2608596.26429999945685267),富源,花蓮縣瑞穗鄉富源路2號
Point (289758.35790000093402341 2611406.21549999993294477),大富,花蓮縣光復鄉明德路1號
Point (292959.73669999954290688 2618134.6051000002771616),光復,花蓮縣光復鄉中正路一段2-1號
Point (292733.68330000003334135 2623198.14409999875351787),萬榮,花蓮縣鳳林鎮長德街17號
Point (295564.23410000110743567 2627004.24149999907240272),鳳林,花蓮縣鳳林鎮中山路43號
Point (296698.40270000067539513 2630986.83589999936521053),南平,花蓮縣鳳林鎮自強路233號
Point (297098.4138000012608245 2633226.70529999863356352),林榮新光,花蓮縣鳳林鎮兆豐路800號
Point (300542.96890000009443611 2638327.16469999961555004),豐田,花蓮縣壽豐鄉站前街36號
Point (302043.28870000026654452 2640649.60889999940991402),壽豐,花蓮縣壽豐鄉壽山路1號
Point (302999.93690000078640878 2642135.62230000086128712),平和,花蓮縣壽豐鄉平和路1號
Point (303903.59810000064317137 2644884.97770000109449029),志學,花蓮縣壽豐鄉中正路1號
Point (309289.01630000089062378 2651618.71790000097826123),吉安,花蓮縣吉安鄉南昌街200號
Point (311234.75350000022444874 2654378.26429999945685267),花蓮,花蓮縣花蓮市國聯一路100號
Point (314686.79049999971175566 2654505.75649999966844916),花蓮港,花蓮縣花蓮市港口路2號
Point (311196.75349999888567254 2658751.30649999994784594),北埔,花蓮縣新城鄉自強街113號
Point (312113.71910000068601221 2665168.62609999906271696),景美,花蓮縣秀林鄉加灣178-1號
Point (315123.32449999958043918 2669297.46469999989494681),新城,花蓮縣新城鄉新興一路73號
Point (316593.47190000105183572 2674223.99029999971389771),崇德,花蓮縣秀林鄉海濱路96號
Point (322288.52369999949587509 2682027.26369999907910824),和仁,花蓮縣秀林鄉和仁路71號
Point (326468.98629999934928492 2688264.24570000031962991),和平,花蓮縣秀林鄉和平村276號
Point (265980.07070000062230974 2542082.79280000040307641),瑞和,臺東縣鹿野鄉瑞景路三段1-1號
Point (266305.25250000139931217 2539430.0066999988630414),瑞源,臺東縣鹿野鄉瑞景路一段336巷8-1號
Point (264051.47350000124424696 2534596.79010000079870224),鹿野,臺東縣鹿野鄉中正路38號
Point (264142.2214999997522682 2528998.73970000026747584),山里,臺東縣卑南鄉山里路108號
Point (262643.32049999939044937 2521447.10050000110641122),臺東,臺東縣臺東市岩灣路101巷598號
Point (272507.3037000002223067 2558287.83730000117793679),池上,臺東縣池上鄉鐵花路30號
Point (268110.33100000047124922 2555691.30660000117495656),海端,臺東縣關山鎮德高里西莊49號
Point (266842.00349999906029552 2549348.98429999966174364),關山,臺東縣關山鎮博愛路2號
Point (239786.61809999917750247 2473994.43930000020191073),大武,臺東縣大武鄉大鳥村和平部落33號
Point (244009.05630000052042305 2484596.8629000005312264),瀧溪,臺東縣太麻里鄉多良村大溪37號
Point (246632.43410000001313165 2492410.38729999912902713),金崙,臺東縣太麻里鄉金崙村金崙47-17號
Point (250510.86790000094333664 2502077.40049999859184027),太麻里,臺東縣太麻里鄉站前路2號
Point (256236.75210000056540594 2512196.18750000093132257),知本,臺東縣臺東市知本路二段900巷85號
Point (259602.84989999938989058 2518183.17549999943003058),康樂,臺東縣臺東市博物館路51巷131號
